Hour;Load
1363;2,484
1364;2,49
1365;2,358
1366;2,49
1367;2,382
1368;2,382
1369;2,292
1370;2,286
1371;2,268
1372;2,268
1373;2,136
1374;2,13
1375;2,178
1376;2,232
1377;2,07
1378;2,37
1379;2,352
1380;2,346
1381;2,292
1382;2,292
1383;2,286
1384;2,244
1385;2,214
1386;2,244
1387;2,16
1388;2,16
1389;2,022
1390;2,13
1391;2,136
1392;2,184
1393;2,16
1394;2,22
1395;2,04
1396;2,154
1397;2,1
1398;2,142
1399;2,004
1400;2,124
1401;2,268
1402;2,292
1403;2,268
1404;2,28
1405;2,322
1406;2,328
1407;2,31
1408;2,28
1409;2,418
1410;2,328
1411;2,31
1412;2,196
1413;2,358
1414;2,406
1415;2,37
1416;2,46
1417;2,496
1418;2,418
1419;2,442
1420;2,454
1421;2,4
1422;2,238
1423;2,472
1424;2,49
1425;2,556
1426;2,628
1427;2,46
1428;2,616
1429;2,544
1430;2,514
1431;2,448
1432;2,628
1433;2,52
1434;2,424
1435;2,37
1436;2,382
1437;2,418
1438;2,412
1439;2,37
1440;2,466
1441;2,472
1442;2,424
1443;2,526
1444;2,526
1445;2,562
1446;2,322
1447;2,292
1448;2,28
1449;2,328
1450;2,328
1451;2,364
1452;2,484
1453;2,502
1454;2,478
1455;2,508
1456;2,652
1457;2,64
1458;2,592
1459;2,526
1460;2,52
1461;2,472
1462;2,49
1463;2,34
1464;2,538
1465;2,526
1466;2,454
1467;2,526
1468;2,508
1469;2,544
1470;2,418
1471;2,526
1472;2,568
1473;2,61
1474;2,592
1475;2,688
1476;2,742
1477;2,646
1478;2,742
1479;2,592
1480;2,688
1481;2,718
1482;2,712
1483;2,658
1484;2,568
1485;2,508
1486;2,544
1487;2,478
1488;2,616
1489;2,61
1490;2,514
1491;2,634
1492;2,586
1493;2,64
1494;2,436
1495;2,604
1496;2,616
1497;2,616
1498;2,58
1499;2,628
1500;2,652
1501;2,466
1502;2,538
1503;2,472
1504;2,526
1505;2,436
1506;2,49
1507;2,424
1508;2,454
1509;2,496
1510;2,448
1511;2,364
1512;2,46
1513;2,406
1514;2,394
1515;2,49
1516;2,4
1517;2,37
1518;2,196
1519;2,436
1520;2,538
1521;2,436
1522;2,46
1523;2,544
1524;2,604
1525;2,508
1526;2,586
1527;2,478
1528;2,52
1529;2,4
1530;2,388
1531;2,328
1532;2,304
1533;2,178
1534;2,25
1535;2,268
1536;2,214
1537;2,268
1538;2,28
1539;2,31
1540;2,232
1541;2,184
1542;2,142
1543;2,238
1544;2,364
1545;2,334
1546;2,364
1547;2,376
1548;2,418
1549;2,412
1550;2,478
1551;2,484
1552;2,472
1553;2,37
1554;2,352
1555;2,166
1556;2,178
1557;2,226
1558;2,4
1559;2,328
1560;2,352
1561;2,364
1562;2,322
1563;2,28
1564;2,322
1565;2,238
1566;2,214
1567;2,076
1568;2,172
1569;2,316
1570;2,322
1571;2,334
1572;2,37
1573;2,304
1574;2,364
1575;2,364
1576;2,43
1577;2,472
1578;2,52
1579;2,556
1580;2,448
1581;2,586
1582;2,748
1583;2,694
1584;2,796
1585;2,676
1586;2,61
1587;2,7
1588;2,664
1589;2,736
1590;2,532
1591;2,67
1592;2,748
1593;2,76
1594;2,784
1595;2,754
1596;2,73
1597;2,736
1598;2,682
1599;2,694
1600;2,778
1601;2,67
1602;2,604
1603;2,682
1604;2,694
1605;2,67
1606;2,694
1607;2,622
1608;2,664
1609;2,712
1610;2,658
1611;2,7
1612;2,694
1613;2,67
1614;2,466
1615;2,448
1616;2,508
1617;2,43
1618;2,382
1619;2,358
1620;2,394
1621;2,454
1622;2,622
1623;2,64
1624;2,76
1625;2,67
1626;2,676
1627;2,664
1628;2,736
1629;2,796
1630;2,73
1631;2,586
1632;2,694
1633;2,682
1634;2,61
1635;2,664
1636;2,622
1637;2,628
1638;2,592
1639;2,76
1640;2,796
1641;2,802
1642;2,802
1643;2,754
1644;2,85
1645;2,778
1646;2,778
1647;2,766
1648;2,808
1649;2,754
1650;2,73
1651;2,652
1652;2,616
1653;2,616
1654;2,58
1655;2,508
1656;2,658
1657;2,7
1658;2,61
1659;2,682
1660;2,532
1661;2,562
1662;2,442
1663;2,58
1664;2,574
1665;2,574
1666;2,706
1667;2,724
1668;2,712
1669;2,7
1670;2,676
1671;2,67
1672;2,874
1673;2,838
1674;2,832
1675;2,736
1676;2,568
1677;2,598
1678;2,616
1679;2,532
1680;2,622
1681;2,562
1682;2,562
1683;2,562
1684;2,43
1685;2,442
1686;2,316
1687;2,508
1688;2,622
1689;2,634
1690;2,532
1691;2,712
1692;2,712
1693;2,592
1694;2,574
1695;2,538
1696;2,628
1697;2,58
1698;2,604
1699;2,496
1700;2,412
1701;2,364
1702;2,346
1703;2,322
1704;2,286
1705;2,352
1706;2,388
1707;2,358
1708;2,34
1709;2,34
1710;2,364
1711;2,388
1712;2,478
1713;2,352
1714;2,358
1715;2,412
