,P_PV,P_BESS,E_BESS,pv2load,pv2bess,pv_curtailed,bess2load,lcoe,lcos,lco2,savings_EUR,co2avoided_kgCO2
1884,8.5,7.0,98.0,5296.882112249578,4627.4972000034995,528.7487554548427,4429.698821515824,155.0953527780515,296.81653928979233,1036.3867908615227,587006.3446035843,244712.59729710725
1885,8.5,7.0,105.0,5282.855345624579,4667.589756102182,502.6829659811584,4469.971749809573,164.33612938000297,317.16189246228504,1105.371795737767,588423.742331636,245372.4887428335
1886,8.5,7.0,112.0,5295.0737023845795,4681.503242842182,476.5511224811584,4486.324562212573,173.48605624692914,337.31783695490475,1173.7074485099524,590134.9839180048,246078.4894160329
1887,8.5,8.0,0.0,2248.88155413542,5071.535190526309,3132.7113230461887,4817.958431000001,26.8615878997672,0.0,39.69242272218009,444145.39026941295,179740.92125849766
1888,8.5,8.0,8.0,2875.997295545631,5595.436287246391,1981.6944849158967,5315.040954396574,36.31740260400586,28.77221251122182,131.91245932804964,509087.6244250946,207933.95950590537
1889,8.5,8.0,16.0,3693.1927516516835,5493.147020366128,1266.7882956901062,5220.906150860324,45.44799521883866,52.87675081739786,210.95794657046852,546696.4656733533,225320.58713113522
1890,8.5,8.0,24.0,4146.405137268789,5342.13232066455,964.5906097745797,5080.482186143824,55.57438784736614,76.62636974558336,290.50967092644663,559867.0699845249,232784.84797009573
1891,8.5,8.0,32.0,4565.624993661158,5042.5674712590235,844.9356027877375,4798.9355792085735,66.2529010668579,100.66646112479025,371.66719921524464,566444.1512200958,236102.01393091082
1892,8.5,8.0,40.0,4810.030870553789,4866.972912332709,776.1242848214217,4635.1607482285735,77.08472469258976,124.75887347072468,453.1935584544367,570790.9260510947,238010.3682299464
1893,8.5,8.0,48.0,4903.284073679579,4815.216061058762,734.6279329695795,4589.031739518324,88.04286566975271,148.96741607809173,535.2223946169371,573340.8075987056,239126.6114774393
1894,8.5,8.0,56.0,5018.187150209579,4731.638128582707,703.3027889156322,4512.672703666073,98.98176984380811,173.09246781478367,616.9957475147155,575819.3319686434,240057.8218536734
1895,8.5,8.0,64.0,5126.345318639579,4656.210829802709,670.571919265632,4444.056769825073,109.82109813028578,197.0026262524082,698.0375472470594,578152.4463228346,240987.07814118927
1896,8.5,8.0,72.0,5131.33690148958,4688.944448723762,632.8467174945795,4478.193707800075,120.57641569059713,220.72551981711663,778.4459308312632,580325.80756741,241893.7708461084
1897,8.5,8.0,80.0,5126.49631960958,4729.9995951616565,596.6321529366846,4520.236096916075,131.27071355286583,244.30478947581665,858.3735551547812,582479.5497835679,242776.97880906585
1898,8.5,8.0,88.0,5182.377898059579,4709.186725343238,561.5634443051057,4503.503870588577,141.85431652200597,267.6490677136914,937.4985382737489,584790.5153433778,243713.7800411762
1899,8.5,8.0,96.0,5296.09467894458,4620.8603165785,536.1730721848426,4422.633782262075,152.4515099431273,290.99398443605395,1016.6453399165409,586617.3951196837,244518.05179675596
1900,8.5,8.0,104.0,5287.563505624579,4658.881596102184,506.68296598115865,4461.793997809574,163.01438515430812,314.25309931595945,1095.5080882240557,588223.1025923346,245286.72411461401
1901,8.5,8.0,112.0,5295.0737023845795,4681.503242842182,476.5511224811584,4486.324562212573,173.48605624692914,337.31783695490475,1173.7074485099524,590134.9839180048,246078.4894160329
1902,8.5,8.0,120.0,5272.20922446458,4736.367720762183,444.5511224811585,4541.485816236574,183.88455036098645,360.2225648506276,1251.3635230224763,591883.1964951764,246865.93863693217
1903,8.5,8.0,128.0,5217.8996427145785,4822.67730251218,412.5511224811596,4626.519918899072,194.24584439993,383.03819416043336,1328.7223201055754,593449.867067348,247620.76670056116
1904,9.0,1.0,0.0,5443.32595937868,1836.0867126315813,3788.605282033419,1744.282377,27.963795645049284,0.0,41.32111630189869,452569.19118889957,182871.02981819963
1905,9.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,inf,inf,0.0,0.0
1906,9.0,1.0,2.0,5475.35907466621,2198.0183318717873,3394.640547505682,2087.357415278196,30.135399575878576,7.790662704606293,65.71712699541555,474701.2927965309,192345.82150956913
1907,9.0,1.0,3.0,5478.709661703053,2348.708577766524,3240.5997145741035,2229.6581488781962,31.311663576360655,11.465184605522506,77.44830224376427,483232.49617579055,195962.90278030868
1908,9.0,1.0,4.0,5488.0309599030525,2483.246534145471,3096.740459995157,2357.5642074381963,32.47913644240823,15.019529314737122,88.83965908684561,491219.64352278673,199343.62753656603
1909,9.0,1.0,5.0,5494.179541329369,2612.8956388381025,2960.942773876209,2479.8758568961957,33.643419667723954,18.471960113555213,99.94914258776697,498503.71243041946,202485.19695649587
1910,9.0,1.0,6.0,5495.859439163579,2731.413114188103,2840.745400691999,2593.243438903696,34.828439292603406,21.851090606155683,110.88992358251718,504582.0954647615,205295.52437089052
1911,9.0,1.0,7.0,5497.886036808843,2827.0074629533656,2743.124454281473,2683.963070230696,36.078294889430595,25.203961093049113,121.85509497384844,509402.01540170907,207564.2633754602
1912,9.0,1.0,8.0,5504.3806240888425,2897.577418272839,2666.059911681999,2751.8595277841964,37.38305759659671,28.54499007776775,132.8691970946522,513372.40134552785,209396.77488427542
1913,9.0,1.0,9.0,5543.812916436211,2920.094913720207,2604.1101238872625,2773.156148459196,38.728031199796455,31.878630039136535,143.92262261168494,516708.6408086432,210916.34583475423
1914,9.0,1.0,10.0,5546.079528144632,2967.029673643365,2554.9087522556833,2818.5991703861964,40.11584734224826,35.21867092998405,155.0567626976282,519162.3932289144,212117.33420416247
1915,9.0,1.0,11.0,5574.250982355157,2977.238680732313,2516.5282909562097,2828.202727120696,41.536975044304924,38.56637172603708,166.26095760867278,521250.5286619421,213059.45619276408
1916,9.0,1.0,12.0,5580.789337355158,3004.453287477576,2482.7753292109464,2854.9116035286966,42.96843248542843,41.90658752600185,177.46006057952442,523029.44604226237,213882.84227436106
1917,9.0,1.0,13.0,5601.984460755158,3013.1137698354705,2452.919723453052,2863.044061768696,44.40920448756598,45.2415163699889,188.65854920047613,524606.6206176198,214597.18513436048
1918,9.0,1.0,14.0,5604.5986712551585,3038.7298011091543,2424.689481679368,2888.234291478696,45.84824883082419,48.56212466861995,199.81553946090253,526085.9956593956,215269.46270621015
1919,9.0,1.0,15.0,5612.440896255158,3056.8907590244175,2398.686298764105,2905.3922014981963,47.29346661705621,51.87813551952063,210.9691490050413,527262.4286822295,215868.4624461184
1920,9.0,1.0,16.0,5608.0360027920005,3085.2916204007333,2374.690330850947,2933.228019805696,48.73917847066533,55.18487488300514,222.09827432814282,528446.694803157,216440.55654843705
1921,9.0,2.0,0.0,3791.97431637868,3574.3516000000045,3701.692037664996,3395.6340200000004,27.963795645049284,0.0,41.32111630189869,452569.19118889957,182871.02981819963
1922,9.0,2.0,2.0,3888.9508523830527,3874.357134718104,3304.7099669425234,3679.8792779821956,30.111058033820953,7.784369881330349,65.66404469907377,475053.6754776836,192522.17838753617
1923,9.0,2.0,4.0,3979.2947894619997,4084.2200776602085,3004.5030869214715,3878.489073777196,32.42875603948363,14.996231591290686,88.70185438171079,491882.79072515096,199749.08888125626
1924,9.0,2.0,6.0,4018.218430312,4312.0379684154705,2737.7615553162086,4094.837050419696,34.72561344976542,21.78657847600736,110.56253739794491,506895.3485367189,206077.68300510003
